SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	Total	D1C1	D1C2	D1C3	D1C4	D1C5	D1C6	D4C1	D4C2	D4C3	D4C4	D6C4	D6C5
99	4	EST-008  - Liivi lahe rannikuvesi 	28	3	Circalittoral mud	1												1
100	4	FIN-001  - Lounainen sisäsaaristo 	1	1	Biodiversity	6						2						4
100	4	FIN-001  - Lounainen sisäsaaristo 	5	2	Pelagic habitat	2						2						
100	4	FIN-001  - Lounainen sisäsaaristo 	6	2	Benthic habitat	4												4
100	4	FIN-001  - Lounainen sisäsaaristo 	17	3	Coastal pelagic habitats	2						2						
100	4	FIN-001  - Lounainen sisäsaaristo 	20	3	Infralittoral coarse sediment	3												3
100	4	FIN-001  - Lounainen sisäsaaristo 	28	3	Circalittoral mud	1												1
101	4	FIN-002  - Lounainen ulkosaaristo 	1	1	Biodiversity	6						2						4
101	4	FIN-002  - Lounainen ulkosaaristo 	5	2	Pelagic habitat	2						2						
101	4	FIN-002  - Lounainen ulkosaaristo 	6	2	Benthic habitat	4												4
101	4	FIN-002  - Lounainen ulkosaaristo 	17	3	Coastal pelagic habitats	2						2						
101	4	FIN-002  - Lounainen ulkosaaristo 	20	3	Infralittoral coarse sediment	3												3
101	4	FIN-002  - Lounainen ulkosaaristo 	28	3	Circalittoral mud	1												1
102	4	FIN-003  - Suomenlahden sisäsaaristo 	1	1	Biodiversity	6						2						4
102	4	FIN-003  - Suomenlahden sisäsaaristo 	5	2	Pelagic habitat	2						2						
102	4	FIN-003  - Suomenlahden sisäsaaristo 	6	2	Benthic habitat	4												4
102	4	FIN-003  - Suomenlahden sisäsaaristo 	17	3	Coastal pelagic habitats	2						2						
102	4	FIN-003  - Suomenlahden sisäsaaristo 	20	3	Infralittoral coarse sediment	3												3
102	4	FIN-003  - Suomenlahden sisäsaaristo 	28	3	Circalittoral mud	1												1
103	4	FIN-004  - Suomenlahden ulkosaaristo 	1	1	Biodiversity	6						2						4
103	4	FIN-004  - Suomenlahden ulkosaaristo 	5	2	Pelagic habitat	2						2						
103	4	FIN-004  - Suomenlahden ulkosaaristo 	6	2	Benthic habitat	4												4
103	4	FIN-004  - Suomenlahden ulkosaaristo 	17	3	Coastal pelagic habitats	2						2						
103	4	FIN-004  - Suomenlahden ulkosaaristo 	20	3	Infralittoral coarse sediment	3												3
103	4	FIN-004  - Suomenlahden ulkosaaristo 	28	3	Circalittoral mud	1												1
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	1	1	Biodiversity	4						1						3
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	5	2	Pelagic habitat	1						1						
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	6	2	Benthic habitat	3												3
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	17	3	Coastal pelagic habitats	1						1						
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	20	3	Infralittoral coarse sediment	2												2
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	28	3	Circalittoral mud	1												1
129	4	GER-016  - oligohaline inner coastal waters, Peenestrom 	1	1	Biodiversity	3						1						2
129	4	GER-016  - oligohaline inner coastal waters, Peenestrom 	5	2	Pelagic habitat	1						1						
129	4	GER-016  - oligohaline inner coastal waters, Peenestrom 	6	2	Benthic habitat	2												2
129	4	GER-016  - oligohaline inner coastal waters, Peenestrom 	17	3	Coastal pelagic habitats	1						1						
129	4	GER-016  - oligohaline inner coastal waters, Peenestrom 	20	3	Infralittoral coarse sediment	2												2
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	1	1	Biodiversity	3						1						2
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	5	2	Pelagic habitat	1						1						
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	6	2	Benthic habitat	2												2
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	17	3	Coastal pelagic habitats	1						1						
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	20	3	Infralittoral coarse sediment	1												1
