SAUID	IndicatorID	Unit	IndType	Bad	ModGood	High	ModGood2	Bad2	Obs	StdErr	ConfA	ConfT	ConfS	ConfM	BP	PM	GH	PM2	BP2	GH2	Err	OK	Sign	EQR	pGES	Conf	OOAO	ECID	EC	Weight	WeightConf
31	186	mg l-1	1	12	8.66	2			10.54		1	1	0.5	1	10.8866666666667	9.77333333333333	5.33					1	-1	0.262275449101796		0.875	1	93	Macrofauna - Circalittoral mud	0.00779863346469721	0.00779863346469721
195	127	eqr	1	0	0.29	1			0.335		0.5	1	0.5	1	0.0966666666666667	0.193333333333333	0.645					1	1	0.625352112676056		0.75	1	93	Macrofauna - Circalittoral mud	7.58663999278e-05	7.58663999278e-05
196	127	eqr	1	0	0.25	1			0.375		0.5	0.5	0.5	1	0.0833333333333333	0.166666666666667	0.625					1	1	0.666666666666667		0.625	1	93	Macrofauna - Circalittoral mud	3.79331999639e-05	3.79331999639e-05
197	127	eqr	1	0	0.29	1			0.525		0.5	1	0.5	1	0.0966666666666667	0.193333333333333	0.645					1	1	0.732394366197183		0.75	1	93	Macrofauna - Circalittoral mud	7.58663999278e-05	7.58663999278e-05
86	189		1	0	1.7	1			1.67422135888803		0.5	0.5	0.5	1	0.566666666666667	1.13333333333333	1.35				Boundary values not monotonic	0	0			0.625	1	80	Phytoplankton - Coast	0.000109522126289823	0.000109522126289823
195	189	eqr	1	0	0.17	1.2			0.24		0.5	1	0.5	1	0.0566666666666667	0.113333333333333	0.685					1	1	0.627184466019417		0.75	1	80	Phytoplankton - Coast	0.0001517327998556	0.0001517327998556
196	189	eqr	1	0	0.67	1.2			0.7		0.5	0.5	0.5	1	0.223333333333333	0.446666666666667	0.935					1	1	0.622641509433962		0.625	1	80	Phytoplankton - Coast	7.58663999278e-05	7.58663999278e-05
197	189	eqr	1	0	0.67	1.2			0.73		0.5	1	0.5	1	0.223333333333333	0.446666666666667	0.935					1	1	0.645283018867924		0.75	1	80	Phytoplankton - Coast	0.0001517327998556	0.0001517327998556
126	189	µg/l	1	50	7.9	5.3			15.65		0.5	0.5	0.5	1	35.9666666666667	21.9333333333333	6.6					1	-1	0.489548693586698		0.625	1	80	Phytoplankton - Coast	6.34570259619145e-06	6.34570259619145e-06
129	189	µg/l	1	50	17.5	11.7			64.37		0.5	1	0.5	1	39.1666666666667	28.3333333333333	14.6					1	-1	0		0.75	1	80	Phytoplankton - Coast	2.04472639210613e-05	2.04472639210613e-05
130	189	µg/l	1	50	33.5	22.3			84.35		0.5	0.5	0.5	1	44.5	39	27.9					1	-1	0		0.625	1	80	Phytoplankton - Coast	2.04472639210613e-05	2.04472639210613e-05
131	189	µg/l	1	35	4.8	3.2			5.4		0.5	0.5	0.5	1	24.9333333333333	14.8666666666667	4					1	-1	0.588079470198676		0.625	1	80	Phytoplankton - Coast	2.51477843626846e-05	2.51477843626846e-05
132	189	µg/l	1	35	9.8	6.6			10.43		0.5	1	0.5	1	26.6	18.2	8.2					1	-1	0.585		0.75	1	80	Phytoplankton - Coast	1.26914051923829e-05	1.26914051923829e-05
133	189	µg/l	1	50	14.3	9.6			71.65		0.5	0.5	0.5	1	38.1	26.2	11.95					1	-1	0		0.625	1	80	Phytoplankton - Coast	6.29869739177522e-05	6.29869739177522e-05
170	189	ug/l	1	50	20	10			35.62		0.5	0.5	0.5	1	40	30	15					1	-1	0.2876		0.625	1	80	Phytoplankton - Coast	0.000144252303795007	0.000144252303795007
175	189	ug/l	1	10.3	3.8	10.3			7.11		0.5	1	0.5	1	8.13333333333333	5.96666666666667	7.05				Boundary values not monotonic	0	0			0.75	1	80	Phytoplankton - Coast	2.4532704727042e-06	2.4532704727042e-06
177	189	ug/l	1	35	7.5	35			13.82		0.5	0.5	0.5	1	25.8333333333333	16.6666666666667	21.25				Boundary values not monotonic	0	0			0.625	1	80	Phytoplankton - Coast	6.08411077230642e-05	6.08411077230642e-05
181	189	ug/l	1	3.9	1.9	3.9			4.44		0.5	1	0.5	1	3.23333333333333	2.56666666666667	2.9				Boundary values not monotonic	0	0			0.75	1	80	Phytoplankton - Coast	9.61682025300047e-05	9.61682025300047e-05
183	189	ug/l	1	3.9	1.9	3.9			2.08		0.5	0.5	0.5	1	3.23333333333333	2.56666666666667	2.9				Boundary values not monotonic	0	0			0.625	1	80	Phytoplankton - Coast	2.4532704727042e-05	2.4532704727042e-05
