SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	Ind_count	EQR	Weight	Conf
186	4	POL-018  - PL CW III WB 9 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.3883	0	0.75
187	4	POL-019  - PL CW III WB 7 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	80	4	Phytoplankton - Coast	0		1e-04	0.625
187	4	POL-019  - PL CW III WB 7 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	93	4	Macrofauna - Circalittoral mud	1	1	0	0.75
187	4	POL-019  - PL CW III WB 7 central Polish coast, coastal waters, exposed, fully mixed, substratum: sand/pebbles/gravel 	95	4	Macrophytes - Infralittoral coarse sediment	1	0.3557	0	0.75
191	4	SWE-001  - 1s West Coast inner coastal water 	80	4	Phytoplankton - Coast	1	0.6699	1e-04	0.625
191	4	SWE-001  - 1s West Coast inner coastal water 	93	4	Macrofauna - Circalittoral mud	1	0.4809	0	0.625
191	4	SWE-001  - 1s West Coast inner coastal water 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.6239	0	0.75
192	4	SWE-003  - 4 West Coast outer coastal water, Kattegat 	80	4	Phytoplankton - Coast	2	0.9273	2e-04	0.625
192	4	SWE-003  - 4 West Coast outer coastal water, Kattegat 	93	4	Macrofauna - Circalittoral mud	1	0.5	1e-04	0.625
192	4	SWE-003  - 4 West Coast outer coastal water, Kattegat 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.7113	1e-04	0.75
193	4	SWE-004  - 5 South Halland and north Öresund coastal water 	80	4	Phytoplankton - Coast	2	0.8485	3e-04	0.625
193	4	SWE-004  - 5 South Halland and north Öresund coastal water 	93	4	Macrofauna - Circalittoral mud	1	0.5409	1e-04	0.625
193	4	SWE-004  - 5 South Halland and north Öresund coastal water 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.6936	1e-04	0.75
195	4	SWE-006  - 7 Skåne coastal water 	80	4	Phytoplankton - Coast	1	0.6272	2e-04	0.75
195	4	SWE-006  - 7 Skåne coastal water 	93	4	Macrofauna - Circalittoral mud	1	0.6254	1e-04	0.75
195	4	SWE-006  - 7 Skåne coastal water 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.6013	1e-04	0.75
196	4	SWE-007  - 8 Blekinge archipelago and Kalmarsund, inner coastal water 	80	4	Phytoplankton - Coast	1	0.6226	1e-04	0.625
196	4	SWE-007  - 8 Blekinge archipelago and Kalmarsund, inner coastal water 	93	4	Macrofauna - Circalittoral mud	1	0.6667	0	0.625
196	4	SWE-007  - 8 Blekinge archipelago and Kalmarsund, inner coastal water 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.6597	0	0.75
197	4	SWE-008  - 9 Blekinge archipelago and Kalmarsund, outer coastal water 	80	4	Phytoplankton - Coast	1	0.6453	2e-04	0.75
197	4	SWE-008  - 9 Blekinge archipelago and Kalmarsund, outer coastal water 	93	4	Macrofauna - Circalittoral mud	1	0.7324	1e-04	0.75
197	4	SWE-008  - 9 Blekinge archipelago and Kalmarsund, outer coastal water 	95	4	Macrophytes - Infralittoral coarse sediment	2	0.638	1e-04	0.75
214	4	SWE-025  - 25 Göta and Nordre älv estuary	80	4	Phytoplankton - Coast	1	0.3224	0	0.625
214	4	SWE-025  - 25 Göta and Nordre älv estuary	93	4	Macrofauna - Circalittoral mud	1	0.5	0	0.625
214	4	SWE-025  - 25 Göta and Nordre älv estuary	95	4	Macrophytes - Infralittoral coarse sediment	1	0.5015	0	0.75
215	5	EE-1	80	4	Phytoplankton - Coast	2	0.6606	3e-04	0.75
215	5	EE-1	93	4	Macrofauna - Circalittoral mud	1	0.6641	1e-04	0.75
215	5	EE-1	95	4	Macrophytes - Infralittoral coarse sediment	4	0.5149	1e-04	0.6875
216	5	EE-2	80	4	Phytoplankton - Coast	2	0.5714	1e-04	0.75
216	5	EE-2	93	4	Macrofauna - Circalittoral mud	1	0.6912	1e-04	0.75
216	5	EE-2	95	4	Macrophytes - Infralittoral coarse sediment	3	0.958	1e-04	0.75
217	5	EE-3	80	4	Phytoplankton - Coast	1	0.4354	0	0.75
217	5	EE-3	93	4	Macrofauna - Circalittoral mud	1	0.6819	0	0.75
217	5	EE-3	95	4	Macrophytes - Infralittoral coarse sediment	3	0.7815	0	0.75
218	5	EE-4	80	4	Phytoplankton - Coast	2	0.4685	1e-04	0.75
218	5	EE-4	93	4	Macrofauna - Circalittoral mud	1	0.7184	0	0.75
218	5	EE-4	95	4	Macrophytes - Infralittoral coarse sediment	4	0.7203	0	0.75
219	5	EE-5	80	4	Phytoplankton - Coast	2	0.5058	1e-04	0.75
219	5	EE-5	93	4	Macrofauna - Circalittoral mud	1	0.571	1e-04	0.75
219	5	EE-5	95	4	Macrophytes - Infralittoral coarse sediment	4	0.6488	1e-04	0.75
220	5	EE-6	80	4	Phytoplankton - Coast	2	0.5301	1e-04	0.75
220	5	EE-6	93	4	Macrofauna - Circalittoral mud	1	0.6181	1e-04	0.75
220	5	EE-6	95	4	Macrophytes - Infralittoral coarse sediment	4	0.5079	1e-04	0.75
