SAUID	SAUlevel	SAU	ECID	EClevel	EcosystemComponent	EQR	D1C1	D1C2	D1C3	D1C4	D1C5	D1C6	D4C1	D4C2	D4C3	D4C4	D6C4	D6C5
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	6	2	Benthic habitat	0.6059												0.6059
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	17	3	Coastal pelagic habitats	0.4895						0.4895						
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	20	3	Infralittoral coarse sediment	0.6517												0.6517
126	4	GER-013  - mesohaline inner coastal waters, Greifswalder Bodden 	28	3	Circalittoral mud	0.56												0.56
129	4	GER-016  - oligohaline inner coastal waters, Peenestrom 	1	1	Biodiversity	0.2829						0						0.5658
129	4	GER-016  - oligohaline inner coastal waters, Peenestrom 	5	2	Pelagic habitat	0						0						
129	4	GER-016  - oligohaline inner coastal waters, Peenestrom 	6	2	Benthic habitat	0.5658												0.5658
129	4	GER-016  - oligohaline inner coastal waters, Peenestrom 	17	3	Coastal pelagic habitats	0						0						
129	4	GER-016  - oligohaline inner coastal waters, Peenestrom 	20	3	Infralittoral coarse sediment	0.5658												0.5658
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	1	1	Biodiversity	0.087						0						0.1739
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	5	2	Pelagic habitat	0						0						
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	6	2	Benthic habitat	0.1739												0.1739
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	17	3	Coastal pelagic habitats	0						0						
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	20	3	Infralittoral coarse sediment	0.1579												0.1579
130	4	GER-017  - oligohaline inner coastal waters, Achterwasser 	28	3	Circalittoral mud	0.19												0.19
131	4	GER-018  - mesohaline open coastal waters, Pommersche Bucht, Nordteil 	1	1	Biodiversity	0.6029						0.5881						0.6177
131	4	GER-018  - mesohaline open coastal waters, Pommersche Bucht, Nordteil 	5	2	Pelagic habitat	0.5881						0.5881						
131	4	GER-018  - mesohaline open coastal waters, Pommersche Bucht, Nordteil 	6	2	Benthic habitat	0.6177												0.6177
131	4	GER-018  - mesohaline open coastal waters, Pommersche Bucht, Nordteil 	17	3	Coastal pelagic habitats	0.5881						0.5881						
131	4	GER-018  - mesohaline open coastal waters, Pommersche Bucht, Nordteil 	20	3	Infralittoral coarse sediment	0.6854												0.6854
131	4	GER-018  - mesohaline open coastal waters, Pommersche Bucht, Nordteil 	28	3	Circalittoral mud	0.55												0.55
132	4	GER-019  - mesohaline open coastal waters, Pommersche Bucht, S³dteil 	1	1	Biodiversity	0.4865						0.585						0.388
132	4	GER-019  - mesohaline open coastal waters, Pommersche Bucht, S³dteil 	5	2	Pelagic habitat	0.585						0.585						
132	4	GER-019  - mesohaline open coastal waters, Pommersche Bucht, S³dteil 	6	2	Benthic habitat	0.388												0.388
132	4	GER-019  - mesohaline open coastal waters, Pommersche Bucht, S³dteil 	17	3	Coastal pelagic habitats	0.585						0.585						
132	4	GER-019  - mesohaline open coastal waters, Pommersche Bucht, S³dteil 	20	3	Infralittoral coarse sediment	0.366												0.366
132	4	GER-019  - mesohaline open coastal waters, Pommersche Bucht, S³dteil 	28	3	Circalittoral mud	0.41												0.41
133	4	GER-020  - oligohaline inner coastal waters, Kleines Haff 	1	1	Biodiversity	0.1982						0						0.3964
133	4	GER-020  - oligohaline inner coastal waters, Kleines Haff 	5	2	Pelagic habitat	0						0						
133	4	GER-020  - oligohaline inner coastal waters, Kleines Haff 	6	2	Benthic habitat	0.3964												0.3964
133	4	GER-020  - oligohaline inner coastal waters, Kleines Haff 	17	3	Coastal pelagic habitats	0						0						
133	4	GER-020  - oligohaline inner coastal waters, Kleines Haff 	20	3	Infralittoral coarse sediment	0.5628												0.5628
133	4	GER-020  - oligohaline inner coastal waters, Kleines Haff 	28	3	Circalittoral mud	0.23												0.23
159	4	LAT-002  - South-eastern exposed sandy coast, waterbody B	1	1	Biodiversity	0.6523						0.7045						0.6
159	4	LAT-002  - South-eastern exposed sandy coast, waterbody B	5	2	Pelagic habitat	0.7045						0.7045						
159	4	LAT-002  - South-eastern exposed sandy coast, waterbody B	6	2	Benthic habitat	0.6												0.6
159	4	LAT-002  - South-eastern exposed sandy coast, waterbody B	17	3	Coastal pelagic habitats	0.7045						0.7045						
159	4	LAT-002  - South-eastern exposed sandy coast, waterbody B	20	3	Infralittoral coarse sediment	0.6												0.6
160	4	LAT-003  - Gulf of Riga sandy coast, waterbodies C&E 	1	1	Biodiversity	0.4102						0.3204						0.5
160	4	LAT-003  - Gulf of Riga sandy coast, waterbodies C&E 	5	2	Pelagic habitat	0.3204						0.3204						
160	4	LAT-003  - Gulf of Riga sandy coast, waterbodies C&E 	6	2	Benthic habitat	0.5												0.5
160	4	LAT-003  - Gulf of Riga sandy coast, waterbodies C&E 	17	3	Coastal pelagic habitats	0.3204						0.3204						
160	4	LAT-003  - Gulf of Riga sandy coast, waterbodies C&E 	20	3	Infralittoral coarse sediment	0.38												0.38
160	4	LAT-003  - Gulf of Riga sandy coast, waterbodies C&E 	28	3	Circalittoral mud	0.62												0.62
161	4	LAT-004  - Gulf of Riga stony coast, waterbodies D&F 	1	1	Biodiversity	0.5197						0.4987						0.5407
161	4	LAT-004  - Gulf of Riga stony coast, waterbodies D&F 	5	2	Pelagic habitat	0.4987						0.4987						
161	4	LAT-004  - Gulf of Riga stony coast, waterbodies D&F 	6	2	Benthic habitat	0.5407												0.5407
