SAUID;IndicatorID;'Unit';IndType;Bad;ModGood;High;ModGood2;Bad2;Obs;StdErr;ConfA;ConfT;ConfS;ConfM
103;214;'m';1;0.4;5;6;;;3.68;;0.5;1;0.5;1
215;191;'mg/l';1;2.78;0.67;0.45;;;0.585;;0.5;1;0.5;1
216;191;'mg/l';1;2.78;0.67;0.45;;;0.814;;0.5;1;0.5;1
218;191;'mg/l';1;1.68;0.42;0.28;;;0.771;;0.5;1;0.5;1
219;191;'mg/l';1;1.68;0.42;0.28;;;0.622;;0.5;1;0.5;1
220;191;'mg/l';1;1.68;0.42;0.28;;;0.623;;0.5;1;0.5;1
215;234;'%';1;0;42.5;85;;;30.0466666666667;;0.5;1;0.5;1
216;234;'%';1;0;42.5;85;;;81.6433333333333;;0.5;1;0.5;1
217;234;'%';1;0;77.4;90;;;86.5866666666667;;0.5;1;0.5;1
218;234;'%';1;0;77.4;90;;;94;;0.5;1;0.5;1
219;234;'%';1;0;77.4;90;;;71.7433333333333;;0.5;1;0.5;1
220;234;'%';1;0;77.4;90;;;47.8;;0.5;1;0.5;1
100;214;'m';1;1;4.5;6.5;;;1.45;;0.5;1;0.5;1
101;214;'m';1;1.8;7.3;10.5;;;3.47;;0.5;1;0.5;1
102;214;'m';1;1.1;4.5;6.3;;;1.7;;0.5;1;0.5;1
103;214;'m';1;1.2;5.5;7.9;;;3.7;;0.5;1;0.5;1
215;214;'m';1;0.8;3.6;4.8;;;2.8;;0.5;1;0.5;1
218;214;'m';1;1.4;4.5;6;;;3.6;;0.5;1;0.5;1
219;214;'m';1;1.4;4.5;6;;;4.54;;0.5;1;0.5;1
220;214;'m';1;1.4;4.5;6;;;4.75;;0.5;1;0.5;1
215;127;'';1;0;0.5;1;;;0.580095;;0.5;1;0.5;1
216;127;'';1;0;0.5;1;;;0.614;;0.5;1;0.5;1
217;127;'';1;0;0.5;1;;;0.602333333333333;;0.5;1;0.5;1
218;127;'';1;0;0.5;1;;;0.648;;0.5;1;0.5;1
219;127;'';1;0;0.5;1;;;0.475838333333333;;0.5;1;0.5;1
220;127;'';1;0;0.5;1;;;0.522666666666667;;0.5;1;0.5;1
99;219;'m';1;0;6;12;;;7.4;;0.5;1;0.5;1
95;219;'m';1;0;2.5;5;;;3.205;;0.5;1;0.5;1
159;191;'mg/m3';1;590;320;211;;;124;;0.5;1;0.5;1
160;191;'mg/m3';1;790;380;250;;;611;;0.5;1;0.5;1
161;191;'mg/m3';1;790;380;250;;;374;;0.5;1;0.5;1
162;191;'mg/m3';1;790;430;284;;;648;;0.5;1;0.5;1
160;127;'';1;0;4;14;;;4.5;;0.5;1;0.5;1
161;127;'';1;0;4;14;;;5;;0.5;1;0.5;1
162;127;'';1;0;4.5;15;;;6;;0.5;0.5;0.5;1
99;189;'mg/m3';1;12.4;3;2;;;4.34;;0.5;0.5;0.5;1
95;189;'mg/m3';1;18.1;4.5;3;;;6.41;;0.5;0.5;0.5;1
159;189;'µg/l';1;8.4;1.8;1.2;;;3.9;;0.5;0.5;0.5;1
160;189;'µg/l';1;10.3;2.7;1.8;;;5.5;;0.5;0.5;0.5;1
161;189;'µg/l';1;10.3;2.7;1.8;;;5.5;;0.5;0.5;0.5;1
162;189;'µg/l';1;11.1;3;2;;;6;;0.5;0.5;0.5;1
99;199;'m';1;0;2.5;5;;;2.215;;0.5;1;0.5;1
161;204;'eqr';1;0.05;0.75;1;;;0.59;;0.5;1;0.5;1
99;191;'mg/l';1;1.33;0.33;0.22;;;0.328;;0.5;1;0.5;1
95;191;'mg/l';1;1.33;0.33;0.22;;;0.311;;0.5;1;0.5;1
99;234;'%';1;0;40;80;;;40;;0.5;1;0.5;1
95;234;'%';1;0;30;60;;;30;;0.5;0.5;0.5;1
99;214;'m';1;1.4;4.2;5.5;;;2.31;;0.5;0.5;0.5;1
95;214;'m';1;1;3.2;4.2;;;1.04;;0.5;0.5;0.5;1
159;214;'m';1;1;4.5;7;;;4.5;;0.5;0.5;0.5;1
160;214;'m';1;1;4;6;;;2.9;;0.5;0.5;0.5;1
161;214;'m';1;1;4;6;;;3.1;;0.5;0.5;0.5;1
162;214;'m';1;0;3;5;;;2.6;;0.5;0.5;0.5;1
99;127;'';1;0;0.5;1;;;0.5475;;0.5;0.5;0.5;1
95;127;'';1;0;0.5;1;;;0.549943333333333;;0.5;0.5;0.5;1
192;187;'eqr';1;0;0.45;0.5;;;0.84;;0.5;0.5;0.5;1
193;187;'eqr';1;0;0.33;0.7;;;0.79;;0.5;0.5;0.5;1
191;127;'eqr';1;0;0.66;1;;;0.529;;0.5;0.5;0.5;1
192;127;'eqr';1;0;0.66;1;;;0.55;;0.5;0.5;0.5;1
193;127;'eqr';1;0;0.66;1;;;0.595;;0.5;0.5;0.5;1
214;127;'eqr';1;0;0.66;1;;;0.55;;0.5;0.5;0.5;1
78;189;'';1;9.4;2.1;1.3;;;11.2636721946685;;0.5;0.5;0.5;1
80;189;'';1;0;3.6;2.2;;;14.1945050505051;;0.5;0.5;0.5;1
82;189;'';1;0;7;4.2;;;8.6;;0.5;0.5;0.5;1
83;189;'';1;0;7;4.2;;;65;;0.5;0.5;0.5;1
84;189;'';1;0;1.6;1;;;1.47624929647613;;0.5;0.5;0.5;1
87;189;'';1;0;2.1;1.3;;;2.75406100968243;;0.5;0.5;0.5;1
89;189;'';1;0;3.6;2.2;;;3.70894184797738;;0.5;0.5;0.5;1
90;189;'';1;0;3.6;2.2;;;5.03;;0.5;0.5;0.5;1
