IndID;Indicator;EcosystemComponent;EcosystemComponentID;D1C1;D1C2;D1C3;D1C4;D1C5;D1C6;D4C1;D4C2;D4C3;D4C4;D6C4;D6C5
221;WFD, benthflora_depth;Macrophytes - Infralittoral sand;97;;;;;;;;;;;;1
222;WFD, benthflora_depth;Macrophytes - Infralittoral mud;98;;;;;;;;;;;;1
223;WFD, macrophyte_shelt;Macrophytes - Infralittoral rock and biogenic reef;94;;;;;;;;;;;;1
224;WFD, macrophyte_shelt;Macrophytes - Infralittoral coarse sediment;95;;;;;;;;;;;;1
225;WFD, macrophyte_shelt;Macrophytes - Infralittoral mixed sediment;96;;;;;;;;;;;;1
226;WFD, macrophyte_shelt;Macrophytes - Infralittoral sand;97;;;;;;;;;;;;1
227;WFD, macrophyte_shelt;Macrophytes - Infralittoral mud;98;;;;;;;;;;;;1
228;WFD, macrophyte_open;Macrophytes - Infralittoral rock and biogenic reef;94;;;;;;;;;;;;1
229;WFD, macrophyte_open;Macrophytes - Infralittoral coarse sediment;95;;;;;;;;;;;;1
230;WFD, macrophyte_open;Macrophytes - Infralittoral mixed sediment;96;;;;;;;;;;;;1
231;WFD, macrophyte_open;Macrophytes - Infralittoral sand;97;;;;;;;;;;;;1
232;WFD, macrophyte_open;Macrophytes - Infralittoral mud;98;;;;;;;;;;;;1
233;WFD, pros_peren;Macrophytes - Infralittoral rock and biogenic reef;94;;;;;;;;;;;;1
234;WFD, pros_peren;Macrophytes - Infralittoral coarse sediment;95;;;;;;;;;;;;1
235;WFD, pros_peren;Macrophytes - Infralittoral mixed sediment;96;;;;;;;;;;;;1
236;WFD, pros_peren;Macrophytes - Infralittoral sand;97;;;;;;;;;;;;1
237;WFD, pros_peren;Macrophytes - Infralittoral mud;98;;;;;;;;;;;;1
238;Pikeperch size at maturity;Pikeperch;65;;;1;;;;;;;;;
239;ICES - Fmsy Brill;Brill;73;;1;;;;;;;;;;
240;ICES - Fmsy Cod;Cod;72;;1;;;;;;;;;;
241;ICES - Fmsy Dab;Common dab;74;;1;;;;;;;;;;
242;ICES - Fmsy Flounder;Flounder;75;;1;;;;;;;;;;
243;ICES - Fmsy Herring;Herring;70;;1;;;;;;;;;;
244;ICES - Fmsy Plaice;Plaice;76;;1;;;;;;;;;;
245;ICES - Fmsy Salmon;Salmon;69;;1;;;;;;;;;;
246;ICES - Fmsy Sole;Sole;77;;1;;;;;;;;;;
247;ICES - Fmsy Sprat;Sprat;71;;1;;;;;;;;;;
248;ICES - Fmsy Sea trout;Sea trout;66;;1;;;;;;;;;;
249;ICES - Fmsy Turbot;Turbot;78;;1;;;;;;;;;;
250;ICES - Fmsy Eel;European eel;79;;1;;;;;;;;;;
251;ICES - SSB Brill;Brill;73;;1;;;;;;;;;;
252;ICES - SSB Cod;Cod;72;;1;;;;;;;;;;
253;ICES - SSB Dab;Common dab;74;;1;;;;;;;;;;
254;ICES - SSB Flounder;Flounder;75;;1;;;;;;;;;;
255;ICES - SSB Herring;Herring;70;;1;;;;;;;;;;
256;ICES - SSB Plaice;Plaice;76;;1;;;;;;;;;;
257;ICES - SSB Salmon;Salmon;69;;1;;;;;;;;;;
258;ICES - SSB Sole;Sole;77;;1;;;;;;;;;;
259;ICES - SSB Sprat;Sprat;71;;1;;;;;;;;;;
260;ICES - SSB Sea trout;Sea trout;66;;1;;;;;;;;;;
261;ICES - SSB Eel;European eel;79;;1;;;;;;;;;;
